GNPS_annotation	Curated_GNPS_Annotation	Inchi_whole string	SMILES_canonical	Structural_Class	Structural_Subclass	Structural_Subclass2	Source_GFOP	Source	Source_Sub1	Source_Sub2	Drug_Info_1	Drug_Info_2	Bioactivity_boolean	Bioactivity_Known	Origin_Known	Sample_Type_Detected_In_Food	Sample_Type_Detected_In_HumanFeces	Project_Vital_Foodomics	Project_Vital_AGP1	Comment	Reference
Tetradecanedioic acid	Tetradecanedioic acid	InChI=1S/C14H26O4/c15-13(16)11-9-7-5-3-1-2-4-6-8-10-12-14(17)18/h1-12H2,(H,15,16)(H,17,18)	C(CCCCCCC(=O)O)CCCCCC(=O)O	lipid		fatty acyl	human	human	human metabolite	human metabolite carboxylic acid						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/tetradecanedioic_acid#section=Top
Spectral Match to 3.alpha.,7.alpha.,12.alpha.-Trihydroxycholestanoic acid from NIST14	Trihydroxycholestanoic acid	InChI=1S/C27H46O5/c1-17(7-6-15-27(32,23(28)29)24(30)31)20-11-12-21-19-10-9-18-8-4-5-14-25(18,2)22(19)13-16-26(20,21)3/h17-23,28-29,32H,4-16H2,1-3H3,(H,30,31)/t17-,18?,19+,20-,21+,22+,25+,26-,27?/m1/s1	CC(CCCC(C(O)O)(C(=O)O)O)C1CCC2C1(CCC3C2CCC4C3(CCCC4)C)C	lipid	bile acid	biosynethic steriod intermediate	human	human	human metabolite	human metabolite lipid						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/57358233#section=Top;http://www.jlr.org/content/42/1/137.full.pdf+html
Undecanedioic acid	Undecanedioic acid	InChI=1S/C11H20O4/c12-10(13)8-6-4-2-1-3-5-7-9-11(14)15/h1-9H2,(H,12,13)(H,14,15)	C(CCCCC(=O)O)CCCCC(=O)O	lipid	fatty acyl		human	human	human metabolite	human metabolite carboxylic acid						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/undecanedioic_acid#section=Top
Spectral Match to Urobilin from NIST14	Urobilin	InChI=1S/C33H42N4O6/c1-7-20-19(6)32(42)37-27(20)14-25-18(5)23(10-12-31(40)41)29(35-25)15-28-22(9-11-30(38)39)17(4)24(34-28)13-26-16(3)21(8-2)33(43)36-26/h15,26-27,35H,7-14H2,1-6H3,(H,36,43)(H,37,42)(H,38,39)(H,40,41)/b28-15-/t26-,27-/m0/s1	CCC1=C(C(=O)NC1CC2=C(C(=C(N2)C=C3C(=C(C(=N3)CC4C(=C(C(=O)N4)CC)C)C)CCC(=O)O)CCC(=O)O)C)C	other	porphyrin	heme catabolite	human	human	human metabolite	human metabolite lipid						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/6433298#section=Names-and-Identifiers;https://en.wikipedia.org/wiki/Urobilin
Spectral Match to Valerylcarnitine from NIST14	Valerylcarnitine	InChI=1S/C12H23NO4/c1-5-6-7-12(16)17-10(8-11(14)15)9-13(2,3)4/h10H,5-9H2,1-4H3	CCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	amino acid / peptide	carnitine		human	human	human metabolite	human metabolite carnitine						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/6426903#section=Top
(S)-2,3-epoxysqualene	2,3-epoxysqualene	InChI=1S/C30H50O/c1-24(2)14-11-17-27(5)20-12-18-25(3)15-9-10-16-26(4)19-13-21-28(6)22-23-29-30(7,8)31-29/h14-16,20-21,29H,9-13,17-19,22-23H2,1-8H3/b25-15+,26-16+,27-20+,28-21+/t29-/m0/s1	CC(=CCCC(=CCCC(=CCCC=C(C)CCC=C(C)CCC1C(O1)(C)C)C)C)C	lipid			human	human	human metabolite	human metabolite lipid						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/_S_-2_3-Epoxysqualene
3-Hydroxykynurenine	3-Hydroxykynurenine	InChI=1S/C10H12N2O4/c11-6(10(15)16)4-8(14)5-2-1-3-7(13)9(5)12/h1-3,6,13H,4,11-12H2,(H,15,16)/t6-/m0/s1	C1=CC(=C(C(=C1)O)N)C(=O)CC(C(=O)O)N	amino acid / peptide	amino acid		human	human	human metabolite	human metabolite amino acids						yes	yes	yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/3-hydroxy-L-kynurenine#section=Top
3-Hydroxyoleylcarnitine	3-Hydroxyoleoylcarnitine	InChI=1S/C25H47NO5/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-22(27)19-25(30)31-23(20-24(28)29)21-26(2,3)4/h12-13,22-23,27H,5-11,14-21H2,1-4H3/b13-12-	CCCCCCCCC=CCCCCCC(CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C)O	amino acid / peptide	carnitine		human	human	human metabolite	human metabolite carnitine						yes	yes	yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/71464558
Spectral Match to .beta.-Nicotinamide adenine dinucleotide from NIST14	beta-Nicotinamide adenine dinucleotide	InChI=1S/C21H27N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1-4,7-8,10-11,13-16,20-21,29-32H,5-6H2,(H5-,22,23,24,25,33,34,35,36,37)/p+1/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C4N=CN=C5N)O)O)O)O)C(=O)N	nucleotide or related	dinucleotide		endogenous antimicrobial	human	human metabolite	human metabolite amino acids						yes		yes	no	known as NAD	https://pubchem.ncbi.nlm.nih.gov/compound/5893
Spectral Match to Bilirubin from METLIN	Bilirubin	InChI=1S/C33H36N4O6/c1-7-20-19(6)32(42)37-27(20)14-25-18(5)23(10-12-31(40)41)29(35-25)15-28-22(9-11-30(38)39)17(4)24(34-28)13-26-16(3)21(8-2)33(43)36-26/h7-8,13-14,34-35H,1-2,9-12,15H2,3-6H3,(H,36,43)(H,37,42)(H,38,39)(H,40,41)/b26-13-,27-14-	CC1=C(NC(=C1CCC(=O)O)CC2=C(C(=C(N2)C=C3C(=C(C(=O)N3)C)C=C)C)CCC(=O)O)C=C4C(=C(C(=O)N4)C=C)C	amino acid / peptide	peptide_other		human	human	human metabolite	human metabolite lipid						yes	yes	yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/bilirubin
C17_Sphingosine 	Heptadecasphing-4-Enine	InChI=1S/C17H35NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-17(20)16(18)15-19/h13-14,16-17,19-20H,2-12,15,18H2,1H3/b14-13+/t16-,17+/m0/s1	CCCCCCCCCCCCC=CC(C(CO)N)O	lipid	sphingolipid		human	human	human metabolite	human metabolite lipid						yes	yes	yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/5283557
C17-Sphinganine	Heptadecasphing-4-Enine	InChI=1S/C17H35NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-17(20)16(18)15-19/h13-14,16-17,19-20H,2-12,15,18H2,1H3/b14-13+/t16-,17+/m0/s1	CCCCCCCCCCCCC=CC(C(CO)N)O	lipid	sphingolipid		human	human	human metabolite	human metabolite lipid						yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/5283557
C18_Sphingosine	Sphingosine	InChI=1S/C18H37NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-18(21)17(19)16-20/h14-15,17-18,20-21H,2-13,16,19H2,1H3/b15-14+/t17-,18+/m0/s1	CCCCCCCCCCCCCC=CC(C(CO)N)O	lipid	sphingolipid		human	human	human metabolite	human metabolite lipid						yes	yes	yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/sphingosine#section=Synonyms
Cholic acid	Cholic acid	InChI=1S/C24H40O5/c1-13(4-7-21(28)29)16-5-6-17-22-18(12-20(27)24(16,17)3)23(2)9-8-15(25)10-14(23)11-19(22)26/h13-20,22,25-27H,4-12H2,1-3H3,(H,28,29)/t13-,14+,15-,16-,17+,18+,19-,20+,22+,23+,24-/m1/s1	CC(CCC(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C	lipid	bile acid	primary bile acid	human	human	human metabolite	human metabolite lipid						yes	yes	yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/cholic_acid
Massbank:PB000432 Citrulline|2-amino-5-(carbamoylamino)pentanoic acid	Citrulline	InChI=1S/C6H13N3O3/c7-4(5(10)11)2-1-3-9-6(8)12/h4H,1-3,7H2,(H,10,11)(H3,8,9,12)/t4-/m0/s1	C(CC(C(=O)O)N)CNC(=O)N	amino acid / peptide	amino acid		human	human	human metabolite	human metabolite amino acids						yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/L-citrulline#section=2D-Structure
Spectral Match to L-Citrulline from NIST14	Citrulline	InChI=1S/C6H13N3O3/c7-4(5(10)11)2-1-3-9-6(8)12/h4H,1-3,7H2,(H,10,11)(H3,8,9,12)/t4-/m0/s1	C(CC(C(=O)O)N)CNC(=O)N	amino acid / peptide	amino acid		human	human	human metabolite	human metabolite amino acids						yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/L-citrulline#section=2D-Structure
Decanoyl-L-carnitine	Decanoyl-L-carnitine	InChI=1S/C17H33NO4/c1-5-6-7-8-9-10-11-12-17(21)22-15(13-16(19)20)14-18(2,3)4/h15H,5-14H2,1-4H3/t15-/m1/s1	CCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	amino acid / peptide	carnitine		human	human	human metabolite	human metabolite carnitine						yes	yes	yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/11953821
(S,S)-(-)-Hydrobenzoin	Hydrobenzoin	InChI=1S/C14H14O2/c15-13(11-7-3-1-4-8-11)14(16)12-9-5-2-6-10-12/h1-10,13-16H	C1=CC=C(C=C1)C(C(C2=CC=CC=C2)O)O			polyol	human	human	human metabolite	human metabolite						yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/95447
Massbank:MT000129 Indolelactic acid|indolelactate	Indole-3-lactic acid	InChI=1S/C11H11NO3/c13-10(11(14)15)5-7-6-12-9-4-2-1-3-8(7)9/h1-4,6,10,12-13H,5H2,(H,14,15)	C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)O			benzopyrrole	human	human	human metabolite	human metabolite amino acids						yes		yes	no	tryptophan metabolite	http://www.hmdb.ca/metabolites/HMDB00671
Spectral Match to Lauroyl L-carnitine from NIST14	Lauroyl L-carnitine	InChI=1S/C19H37NO4/c1-5-6-7-8-9-10-11-12-13-14-19(23)24-17(15-18(21)22)16-20(2,3)4/h17H,5-16H2,1-4H3/t17-/m1/s1	CCCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	amino acid / peptide	carnitine		human	human	human metabolite	human metabolite carnitine						yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/Lauroylcarnitine
Myristoyl-L-carnitine	Myristoyl-L-carnitine	InChI=1S/C21H41NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-21(25)26-19(17-20(23)24)18-22(2,3)4/h19H,5-18H2,1-4H3/t19-/m1/s1	CCCCCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	amino acid / peptide	carnitine		human	human	human metabolite	human metabolite carnitine						yes	yes	yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/53477791#section=Top
Spectral Match to Palmitoylcarnitine from NIST14	Palmitoylcarnitine	InChI=1S/C23H45NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-23(27)28-21(19-22(25)26)20-24(2,3)4/h21H,5-20H2,1-4H3	CCCCCCCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	amino acid / peptide	carnitine		human	human	human metabolite	human metabolite carnitine						yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/461
Phenylacetyl-L-glutamine	Phenylacetylglutamine	InChI=1S/C13H16N2O4/c14-11(16)7-6-10(13(18)19)15-12(17)8-9-4-2-1-3-5-9/h1-5,10H,6-8H2,(H2,14,16)(H,15,17)(H,18,19)/t10-/m0/s1	C1=CC=C(C=C1)CC(=O)NC(CCC(=O)N)C(=O)O				human	human	human metabolite	human metabolite amino acids						yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/Phenylacetylglutamine#section=Top
Trihydroxycholestanoic acid	Trihydroxycholestanoic acid	InChI=1S/C27H46O5/c1-17(7-6-15-27(32,23(28)29)24(30)31)20-11-12-21-19-10-9-18-8-4-5-14-25(18,2)22(19)13-16-26(20,21)3/h17-23,28-29,32H,4-16H2,1-3H3,(H,30,31)/t17-,18?,19+,20-,21+,22+,25+,26-,27?/m1/s1	CC(CCCC(C(O)O)(C(=O)O)O)C1CCC2C1(CCC3C2CCC4C3(CCCC4)C)C	lipid	bile acid	biosynethic steriod intermediate	human	human	human metabolite	human metabolite lipid						yes		yes	no		https://pubchem.ncbi.nlm.nih.gov/compound/57358233
Spectral Match to 24S-Hydroxycholesterol from NIST14	24-Hydroxycholesterol 	InChI=1S/C27H46O2/c1-17(2)25(29)11-6-18(3)22-9-10-23-21-8-7-19-16-20(28)12-14-26(19,4)24(21)13-15-27(22,23)5/h7,17-18,20-25,28-29H,6,8-16H2,1-5H3/t18-,20+,21+,22-,23+,24+,25+,26+,27-/m1/s1	CC(C)C(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)O	lipid	sterol lipid	sterol	human	human	human metabolite	human metabolite								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/Cerebrosterol#section=Top
Spectral Match to 4-Androsten-3,17-dione from NIST14	4-Androsten-3,17-dione	InChI=1S/C19H26O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h11,14-16H,3-10H2,1-2H3/t14-,15-,16-,18-,19-/m0/s1	CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4=O)C	lipid	steroid		human	human	human metabolite	human metabolite lipid							yes	no	yes		https://pubchem.ncbi.nlm.nih.gov/compound/androstenedione
6-Ketoprostaglandin F1.alpha.	6-Ketoprostaglandin F1alpha	InChI=1S/C20H34O6/c1-2-3-4-7-14(21)10-11-16-17(19(24)13-18(16)23)12-15(22)8-5-6-9-20(25)26/h10-11,14,16-19,21,23-24H,2-9,12-13H2,1H3,(H,25,26)/b11-10+/t14-,16+,17+,18+,19-/m0/s1 	CCCCCC(C=CC1C(CC(C1CC(=O)CCCCC(=O)O)O)O)O	lipid	eicosanoid		human	human	human metabolite	human metabolite								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/5280888
Androsterone glucuronide	Androsterone glucuronide	InChI=1S/C25H38O8/c1-24-9-7-13(32-23-20(29)18(27)19(28)21(33-23)22(30)31)11-12(24)3-4-14-15-5-6-17(26)25(15,2)10-8-16(14)24/h12-16,18-21,23,27-29H,3-11H2,1-2H3,(H,30,31)/t12-,13+,14-,15-,16-,18-,19-,20+,21-,23+,24-,25-/m0/s1	CC12CCC(CC1CCC3C2CCC4(C3CCC4=O)C)OC5C(C(C(C(O5)C(=O)O)O)O)O	lipid	steroid		human	human	human metabolite	human metabolite lipid								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/114833#section=Top
Arachidonoyl Serotonin	Arachidonoyl Serotonin	InChI=1S/C30H42N2O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-30(34)31-23-22-26-25-32-29-21-20-27(33)24-28(26)29/h6-7,9-10,12-13,15-16,20-21,24-25,32-33H,2-5,8,11,14,17-19,22-23H2,1H3,(H,31,34)/b7-6-,10-9-,13-12-,16-15-	CCCCCC=CCC=CCC=CCC=CCCCC(=O)NCCC1=CNC2=C1C=C(C=C2)O	lipid	fatty amide		human	human	human metabolite	human metabolite lipid								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/10027372#section=Top
Arachidonoylserotonin	Arachidonoyl Serotonin	InChI=1S/C30H42N2O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-30(34)31-23-22-26-25-32-29-21-20-27(33)24-28(26)29/h6-7,9-10,12-13,15-16,20-21,24-25,32-33H,2-5,8,11,14,17-19,22-23H2,1H3,(H,31,34)/b7-6-,10-9-,13-12-,16-15-	CCCCCC=CCC=CCC=CCC=CCCCC(=O)NCCC1=CNC2=C1C=C(C=C2)O	lipid	fatty amide		human	human	human metabolite	human metabolite lipid								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/10027372#section=Top
.beta.-Nicotinamide adenine dinucleotide	beta-Nicotinamide adenine dinucleotide	InChI=1S/C21H27N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1-4,7-8,10-11,13-16,20-21,29-32H,5-6H2,(H5-,22,23,24,25,33,34,35,36,37)/p+1/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C4N=CN=C5N)O)O)O)O)C(=O)N	nucleotide or related	dinucleotide		endogenous antimicrobial	human	human metabolite	human metabolite amino acids								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/coenzyme_I
5.alpha.-Androstane-3,17-dione	Dihydroandrostenedione						human	human	human metabolite	human metabolite lipid								no	no		
MassbankEU:SM872401 Progesterone|(4-14c)pregn-4-ene-3,20-dione|17-acetyl-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one	Progesterone	InChI=1S/C21H30O2/c1-13(22)17-6-7-18-16-5-4-14-12-15(23)8-10-20(14,2)19(16)9-11-21(17,18)3/h12,16-19H,4-11H2,1-3H3/t16-,17+,18-,19-,20-,21+/m0/s1	CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C	lipid	steroid		human	human	human metabolite	human metabolite lipid								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/5994
Trihydroxycoprostane	Trihydroxycoprostane	InChI=1S/C27H48O3/c1-16(2)7-6-8-17(3)20-9-10-21-25-22(15-24(30)27(20,21)5)26(4)12-11-19(28)13-18(26)14-23(25)29/h16-25,28-30H,6-15H2,1-5H3/t17-,18+,19-,20-,21+,22+,23-,24+,25+,26+,27-/m1/s1	CC(C)CCCC(C)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C	lipid	sterol	bile acid and derivatives	human	human	human metabolite	human metabolite lipid								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/160520
Tryptophan Conjugated Muricholic Acid	Tryptophan Conjugated Muricholic Acid			lipid	bile acid		human	human	human metabolite	human metabolite lipid								no	no		
3-Oxo-4-cholestenoic acid	3-Oxo-4-cholestenoic acid			lipid	steroid		human	human	human metabolite	human metabolite								no	no		
3.beta.-Hydroxy-5-cholestenoic acid	3.beta.-Hydroxy-5-cholestenoic acid	InChI=1S/C27H44O3/c1-17(6-5-7-18(2)25(29)30)22-10-11-23-21-9-8-19-16-20(28)12-14-26(19,3)24(21)13-15-27(22,23)4/h8,17-18,20-24,28H,5-7,9-16H2,1-4H3,(H,29,30)/t17-,18?,20+,21?,22?,23?,24?,26+,27-/m1/s1	CC(CCCC(C)C(=O)O)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C	lipid	bile acid	primary bile acid	human	human	human metabolite	human metabolite								no	no	primary bile acid biosynthesis pathway	https://pubchem.ncbi.nlm.nih.gov/compound/53481407
5.beta.-Androstan-3.alpha.-ol-11,17-dione	11-Ketoetiocholanolone	InChI=1S/C19H28O3/c1-18-8-7-12(20)9-11(18)3-4-13-14-5-6-16(22)19(14,2)10-15(21)17(13)18/h11-14,17,20H,3-10H2,1-2H3/t11-,12-,13+,14+,17-,18+,19+/m1/s1	CC12CCC(CC1CCC3C2C(=O)CC4(C3CCC4=O)C)O	lipid	steroid		human	human	human metabolite	human metabolite								no	no		https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:34135 ; https://pubchem.ncbi.nlm.nih.gov/compound/101850
7.alpha.-Hydroxy-3-oxo-4-cholestenoic acid	7alpha-Hydroxy-3-oxo-4-cholestenoate	InChI=1S/C27H42O4/c1-16(6-5-7-17(2)25(30)31)20-8-9-21-24-22(11-13-27(20,21)4)26(3)12-10-19(28)14-18(26)15-23(24)29/h14,16-17,20-24,29H,5-13,15H2,1-4H3,(H,30,31)/t16-,17?,20-,21+,22+,23-,24+,26+,27-/m1/s1	CC(CCCC(C)C(=O)O)C1CCC2C1(CCC3C2C(CC4=CC(=O)CCC34C)O)C	lipid	steroid	bile acids and derivatives	human	human	human metabolite	human metabolite lipid							yes	no	yes		https://pubchem.ncbi.nlm.nih.gov/compound/3081085#section=Top
7.alpha.-Hydroxy-4-cholesten-3-one	7alpha-Hydroxy-4-cholesten-3-one	InChI=1S/C27H44O2/c1-17(2)7-6-8-18(3)21-9-10-22-25-23(12-14-27(21,22)5)26(4)13-11-20(28)15-19(26)16-24(25)29/h15,17-18,21-25,29H,6-14,16H2,1-5H3/t18-,21-,22+,23+,24-,25+,26+,27-/m1/s1	CC(C)CCCC(C)C1CCC2C1(CCC3C2C(CC4=CC(=O)CCC34C)O)C	lipid	sterol	bile acids and derivatives	human	human	human metabolite	human metabolite lipid								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/123743#section=Top
7.alpha.,12.alpha.-Dihydroxycholest-4-en-3-one	7alpha,12alpha-Dihydroxycholest-4-en-3-one	InChI=1S/C27H44O3/c1-16(2)7-6-8-17(3)20-9-10-21-25-22(15-24(30)27(20,21)5)26(4)12-11-19(28)13-18(26)14-23(25)29/h13,16-17,20-25,29-30H,6-12,14-15H2,1-5H3/t17-,20-,21+,22+,23-,24+,25+,26+,27-/m1/s1	CC(C)CCCC(C)C1CCC2C1(C(CC3C2C(CC4=CC(=O)CCC34C)O)O)C	lipid	steroid	bile acids and derivatives	human	human	human metabolite	human metabolite lipid								no	no	7a-Hydroxy-cholestene-3-one is a metabolite in bile acid synthesis. It is derived from 7a-hydroxy-cholesterol and can be further metabolized to 7a, 12a, -dihydroxy-cholest-4-en-3-one. Analysis of 7a-Hydroxycholestene-3-one (HCO) in serum may serve as a novel, simple, and sensitive method for the detection of bile acid malabsorption in patients with chronic diarrhea of unknown origin (PMID: 9952217).	https://pubchem.ncbi.nlm.nih.gov/compound/3081958
Cortol	Cortol	InChI=1S/C21H36O5/c1-19-7-5-13(23)9-12(19)3-4-14-15-6-8-21(26,17(25)11-22)20(15,2)10-16(24)18(14)19/h12-18,22-26H,3-11H2,1-2H3/t12-,13-,14+,15+,16+,17+,18-,19+,20+,21+/m1/s1	CC12CCC(CC1CCC3C2C(CC4(C3CCC4(C(CO)O)O)C)O)O	lipid	steroid		human	human	human metabolite	human metabolite								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/246873
Lauroyl L-carnitine	Lauroyl L-carnitine	InChI=1S/C19H37NO4/c1-5-6-7-8-9-10-11-12-13-14-19(23)24-17(15-18(21)22)16-20(2,3)4/h17H,5-16H2,1-4H3/t17-/m1/s1	CCCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	amino acid / peptide	carnitine		human	human	human metabolite	human metabolite carnitine								no	no		
Lumisterol 3	Lumisterol 3	InChI=1S/C27H44O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h9-10,18-19,21,23-25,28H,6-8,11-17H2,1-5H3/t19-,21+,23-,24+,25-,26-,27-/m1/s1	CC(C)CCCC(C)C1CCC2C1(CCC3C2=CC=C4C3(CCC(C4)O)C)C	lipid	steroid		human	human	human metabolite						vitamin derivative			no	no		https://pubchem.ncbi.nlm.nih.gov/compound/lumisterol_3#section=3D-Conformer
Prostaglandin I2	Prostaglandin I2	InChI=1S/C20H32O5/c1-2-3-4-7-14(21)10-11-16-17-12-15(8-5-6-9-20(23)24)25-19(17)13-18(16)22/h8,10-11,14,16-19,21-22H,2-7,9,12-13H2,1H3,(H,23,24)/p-1/b11-10+,15-8-/t14-,16+,17+,18+,19-/m0/s1	CCCCCC(C=CC1C(CC2C1CC(=CCCCC(=O)[O-])O2)O)O	lipid	eicosanoid		human	human	human metabolite	human metabolite								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/24868263
13,14-dihydro-15-keto-tetranor PGE2	13,14-dihydro-15-keto-tetranor Prostaglandin E2	InChI=1S/C16H26O5/c1-2-3-4-5-11(17)6-7-12-13(8-9-16(20)21)15(19)10-14(12)18/h12-14,18H,2-10H2,1H3,(H,20,21)/t12-,13-,14-/m1/s1	CCCCCC(CC[C@H]([C@H]1CCC(O)=O)[C@H](O)CC1=O)=O	lipid	eicosanoid		human	human	human metabolite	human metabolite lipid							yes		yes		https://www.caymanchem.com/product/13101
12-OAHSA	12-(9Z-Octadecenoyloxy)-octadecanoic acid	InChI=1S/C36H68O4/c1-3-5-7-9-10-11-12-13-14-15-16-17-22-25-29-33-36(39)40-34(30-26-8-6-4-2)31-27-23-20-18-19-21-24-28-32-35(37)38/h13-14,34H,3-12,15-33H2,1-2H3,(H,37,38)/b14-13-	CCCCCCCCC=CCCCCCCCC(=O)OC(CCCCCC)CCCCCCCCCCC(=O)O	lipid	fatty acid ester		human	human	human metabolite	human metabolite lipid							yes		yes	12-OAHSA	https://pubchem.ncbi.nlm.nih.gov/compound/87633653
Spectral Match to Biliverdin from NIST14	Biliverdin	InChI=1S/C33H34N4O6/c1-7-20-19(6)32(42)37-27(20)14-25-18(5)23(10-12-31(40)41)29(35-25)15-28-22(9-11-30(38)39)17(4)24(34-28)13-26-16(3)21(8-2)33(43)36-26/h7-8,13-15,34-35H,1-2,9-12H2,3-6H3,(H,37,42)(H,38,39)(H,40,41)/b24-13-,27-14-,28-15-	CC1=C(C(=CC2=C(C(=C(N2)C=C3C(=C(C(=O)N3)C)C=C)C)CCC(=O)O)NC1=CC4=NC(=O)C(=C4C)C=C)CCC(=O)O	other	porphyrin	heme catabolite	human	human	human metabolite	human metabolite lipid						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/5280353#section=Top
4-Androsten-3,17-dione	4-Androsten-3,17-dione	InChI=1S/C19H26O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h11,14-16H,3-10H2,1-2H3/t14-,15-,16-,18-,19-/m0/s1	CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4=O)C	lipid	steroid		human	human	human metabolite	human metabolite lipid							yes	no	yes		https://pubchem.ncbi.nlm.nih.gov/compound/androstenedione
7.alpha.,12.alpha.-Dihydroxy-5.beta.-cholestan-3-one	7alpha,12alpha-Dihydroxy-5beta-cholestan-3-one	InChI=1S/C27H46O3/c1-16(2)7-6-8-17(3)20-9-10-21-25-22(15-24(30)27(20,21)5)26(4)12-11-19(28)13-18(26)14-23(25)29/h16-18,20-25,29-30H,6-15H2,1-5H3/t17-,18+,20-,21+,22+,23-,24+,25+,26+,27-/m1/s1	CC(C)CCCC(C)C1CCC2C1(C(CC3C2C(CC4C3(CCC(=O)C4)C)O)O)C	lipid	steroid	biosynethic steriod intermediate	human	human	human metabolite	human metabolite lipid							yes	no	yes		https://pubchem.ncbi.nlm.nih.gov/compound/5284271#section=Top;http://www.hmdb.ca/metabolites/HMDB0006887
